,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
79,"frozenset({'LowPrice', 'Oregon'})",frozenset({'LowPoints'}),0.024726694,0.680580402,0.017365666,0.702304394,1.031919804,0.000537163,1.072973845
81,frozenset({'Oregon'}),"frozenset({'LowPrice', 'LowPoints'})",0.030404823,0.640488968,0.017365666,0.571148398,0.891738073,-0.002108288,0.838311039
82,frozenset({'South Australia'}),frozenset({'LowPrice'}),0.019903266,0.848724574,0.016206188,0.81424767,0.959377982,-0.000686203,0.814393152
83,frozenset({'New York'}),frozenset({'LowPrice'}),0.016086928,0.848724574,0.015808653,0.982701812,1.157857145,0.002155282,8.745160323
84,frozenset({'Sicily & Sardinia'}),frozenset({'LowPrice'}),0.016862122,0.848724574,0.015576757,0.923772102,1.088423889,0.001265461,1.984515249
85,frozenset({'Piedmont'}),frozenset({'LowPoints'}),0.027118532,0.680580402,0.015278606,0.563400928,0.827824203,-0.003177735,0.731608515
86,frozenset({'New York'}),frozenset({'LowPoints'}),0.016086928,0.680580402,0.014940701,0.928747941,1.364641031,0.003992253,4.482952515
88,"frozenset({'LowPoints', 'New York'})",frozenset({'LowPrice'}),0.014940701,0.848724574,0.014775061,0.988913525,1.165176025,0.002094521,13.6450434
87,"frozenset({'LowPrice', 'New York'})",frozenset({'LowPoints'}),0.015808653,0.680580402,0.014775061,0.934618609,1.373267003,0.004016002,4.885481808
89,frozenset({'New York'}),"frozenset({'LowPrice', 'LowPoints'})",0.016086928,0.640488968,0.014775061,0.9184514,1.43398473,0.004471562,4.408549418
90,frozenset({'Tuscany'}),frozenset({'HighPrice'}),0.048240906,0.151275426,0.014543166,0.301469578,1.992852289,0.007245502,1.215014476
91,frozenset({'Burgundy'}),frozenset({'LowPoints'}),0.028543033,0.680580402,0.0143709,0.503481894,0.739783122,-0.005054929,0.643319135
92,frozenset({'Burgundy'}),frozenset({'HighPoints'}),0.028543033,0.319419598,0.014172133,0.496518106,1.554438451,0.005054929,1.351747519
94,"frozenset({'LowPoints', 'Piedmont'})",frozenset({'LowPrice'}),0.015278606,0.848724574,0.013615583,0.891153513,1.04999141,0.000648255,1.389805305
93,"frozenset({'LowPrice', 'Piedmont'})",frozenset({'LowPoints'}),0.020221295,0.680580402,0.013615583,0.673328965,0.989345216,-0.000146633,0.977802021
95,frozenset({'Piedmont'}),"frozenset({'LowPrice', 'LowPoints'})",0.027118532,0.640488968,0.013615583,0.502076716,0.783895962,-0.003753537,0.722020929
96,frozenset({'Sicily & Sardinia'}),frozenset({'LowPoints'}),0.016862122,0.680580402,0.012933148,0.766994106,1.126970604,0.001457118,1.370864887
98,"frozenset({'LowPoints', 'Sicily & Sardinia'})",frozenset({'LowPrice'}),0.012933148,0.848724574,0.012608494,0.974897541,1.148661852,0.001631814,6.026318999
97,"frozenset({'LowPrice', 'Sicily & Sardinia'})",frozenset({'LowPoints'}),0.015576757,0.680580402,0.012608494,0.80944279,1.189341904,0.002007258,1.676239902
99,frozenset({'Sicily & Sardinia'}),"frozenset({'LowPrice', 'LowPoints'})",0.016862122,0.640488968,0.012608494,0.747740668,1.167452844,0.001808491,1.425164448
100,frozenset({'South Australia'}),frozenset({'LowPoints'}),0.019903266,0.680580402,0.012297091,0.617842876,0.907817614,-0.001248682,0.835833165
101,frozenset({'Northeastern Italy'}),frozenset({'LowPrice'}),0.013131915,0.848724574,0.01228384,0.935418769,1.102146441,0.001138461,2.34240542
103,"frozenset({'Burgundy', 'LowPoints'})",frozenset({'LowPrice'}),0.0143709,0.848724574,0.0121182,0.843245735,0.993544621,-7.87E-05,0.96504823
102,"frozenset({'LowPrice', 'Burgundy'})",frozenset({'LowPoints'}),0.017670443,0.680580402,0.0121182,0.685789276,1.007653577,9.20E-05,1.016577648
104,frozenset({'Burgundy'}),"frozenset({'LowPrice', 'LowPoints'})",0.028543033,0.640488968,0.0121182,0.42455896,0.662866936,-0.006163297,0.624757372
107,"frozenset({'Tuscany', 'HighPrice'})",frozenset({'HighPoints'}),0.014543166,0.319419598,0.011873054,0.816400911,2.555888602,0.007227682,3.706883328
105,"frozenset({'HighPoints', 'Tuscany'})",frozenset({'HighPrice'}),0.022414364,0.151275426,0.011873054,0.52970736,3.50160879,0.008482311,1.804673309
108,frozenset({'Tuscany'}),"frozenset({'HighPoints', 'HighPrice'})",0.048240906,0.111183993,0.011873054,0.246120038,2.213628354,0.006509437,1.178988768
106,"frozenset({'HighPoints', 'HighPrice'})",frozenset({'Tuscany'}),0.111183993,0.048240906,0.011873054,0.106787438,2.213628354,0.006509437,1.065546024
109,frozenset({'Piedmont'}),frozenset({'HighPoints'}),0.027118532,0.319419598,0.011839926,0.436599072,1.366851232,0.003177735,1.207985942
111,"frozenset({'South Australia', 'LowPoints'})",frozenset({'LowPrice'}),0.012297091,0.848724574,0.011694163,0.950969828,1.120469298,0.001257319,3.085353737
110,"frozenset({'LowPrice', 'South Australia'})",frozenset({'LowPoints'}),0.016206188,0.680580402,0.011694163,0.721586263,1.060251312,0.000664549,1.147283903
112,frozenset({'South Australia'}),"frozenset({'LowPrice', 'LowPoints'})",0.019903266,0.640488968,0.011694163,0.587549933,0.917345907,-0.00105366,0.871647408
113,frozenset({'Oregon'}),frozenset({'HighPoints'}),0.030404823,0.319419598,0.011555026,0.380039224,1.189780546,0.001843129,1.097779776
114,frozenset({'Loire Valley'}),frozenset({'LowPrice'}),0.0118333,0.848724574,0.011190618,0.94568869,1.114246858,0.001147405,2.785339281
115,frozenset({'Burgundy'}),frozenset({'HighPrice'}),0.028543033,0.151275426,0.01087259,0.38091922,2.518050888,0.00655473,1.370943182
116,frozenset({'Marlborough'}),frozenset({'LowPrice'}),0.010965348,0.848724574,0.010846088,0.989123867,1.165423857,0.001539527,13.90893497
117,"frozenset({'HighPoints', 'Tuscany'})",frozenset({'LowPrice'}),0.022414364,0.848724574,0.010541311,0.47029264,0.554116911,-0.008482311,0.285583016
118,"frozenset({'LowPrice', 'Tuscany'})",frozenset({'HighPoints'}),0.033697741,0.319419598,0.010541311,0.312819505,0.979337229,-0.000222408,0.9903954
119,frozenset({'Tuscany'}),"frozenset({'HighPoints', 'LowPrice'})",0.048240906,0.208235606,0.010541311,0.21851394,1.049359159,0.000495836,1.013152294
120,frozenset({'Northeastern Italy'}),frozenset({'LowPoints'}),0.013131915,0.680580402,0.010322666,0.786074672,1.15500633,0.001385342,1.493135953
122,"frozenset({'LowPoints', 'Northeastern Italy'})",frozenset({'LowPrice'}),0.010322666,0.848724574,0.010163652,0.984595635,1.16008852,0.001402552,9.820296385
121,"frozenset({'LowPrice', 'Northeastern Italy'})",frozenset({'LowPoints'}),0.01228384,0.680580402,0.010163652,0.827400216,1.215727361,0.001803511,1.850637299
123,frozenset({'Northeastern Italy'}),"frozenset({'LowPrice', 'LowPoints'})",0.013131915,0.640488968,0.010163652,0.773965691,1.20839816,0.001752805,1.590515323
124,frozenset({'Southwest France'}),frozenset({'LowPrice'}),0.010607566,0.848724574,0.010057643,0.948157402,1.117155589,0.00105474,2.91797538
